Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Atlanta,34,51,13,9,12,66,53,13,4,4,409,380,58,71,4,2023,73.019,299.85,49.975,6,-,0.684,1.4444444444444444
Austin,34,39,10,15,9,49,55,-6,2,3,340,363,59,58,2,2023,20.738,207.38,20.738,10,10,1.0,0.6666666666666666
Charlotte,34,43,10,11,13,45,52,-7,5,7,455,368,44,87,0,2023,75.412,208.987,34.831,6,-,0.462,0.9090909090909091
Chicago,34,40,10,14,10,39,51,-12,2,11,393,430,69,80,6,2023,24.955,150.815,18.852,8,1,0.755,0.7142857142857143
Cincinnati,34,69,20,5,9,57,39,18,9,5,422,429,53,75,5,2023,26.0,201.722,25.215,8,1,0.97,4.0
Colorado,34,27,5,17,12,26,54,-28,4,3,403,320,42,83,4,2023,18.086,75.964,15.193,5,-,0.84,0.29411764705882354
Columbus,34,57,16,9,9,67,46,21,7,4,384,341,52,59,1,2023,20.011,81.865,20.466,4,3,1.023,1.7777777777777777
D.C.,34,40,10,14,10,45,49,-4,2,5,463,408,74,69,2,2023,20.0,145.729,18.216,8,-,0.911,0.7142857142857143
Dallas,34,46,11,10,13,41,37,4,1,3,384,366,59,68,2,2023,20.5,152.741,19.093,8,-,0.931,1.1
Houston,34,51,14,11,9,51,38,13,6,6,435,381,59,92,5,2023,22.039,100.954,16.826,6,-,0.763,1.2727272727272727
Kansas City,34,44,12,14,8,48,51,-3,6,7,334,376,44,57,4,2023,21.0,180.888,25.841,7,-,1.231,0.8571428571428571
LA,34,36,8,14,12,51,67,-16,5,4,364,413,42,72,4,2023,22.0,132.749,22.125,6,5,1.006,0.5714285714285714
LAFC,34,52,14,10,10,54,39,15,9,5,443,370,61,73,1,2023,27.0,114.691,22.938,5,1,0.85,1.4
Miami,34,34,9,18,7,41,54,-13,6,1,412,363,62,83,3,2023,21.55,147.353,21.05,7,-,0.977,0.5
Minnesota,34,41,10,13,11,46,51,-5,5,1,342,323,72,58,1,2023,19.6,156.633,19.579,8,5,0.999,0.7692307692307693
Montreal,34,41,12,17,5,36,52,-16,3,3,416,360,59,69,3,2023,20.341,78.476,19.619,4,-,0.965,0.7058823529411765
Nashville,34,49,13,11,10,39,32,7,5,5,376,369,82,70,6,2023,30.0,285.38,28.538,10,1,0.951,1.1818181818181819
New England,34,55,15,9,10,58,46,12,3,4,353,374,59,50,2,2023,20.0,161.658,32.332,5,3,1.617,1.6666666666666667
New York,34,43,11,13,10,36,39,-3,4,7,497,447,51,87,4,2023,25.0,19.284,19.284,1,-,0.771,0.8461538461538461
New York City,34,41,9,11,14,35,39,-4,3,4,405,428,68,80,1,2023,30.321,50.187,25.094,2,-,0.828,0.8181818181818182
Orlando,34,63,18,7,9,55,39,16,5,3,394,451,51,68,1,2023,25.5,183.491,22.936,8,-,0.9,2.5714285714285716
Philadelphia,34,55,15,9,10,57,41,16,11,6,465,368,90,82,5,2023,18.5,131.683,18.812,7,7,1.017,1.6666666666666667
Portland,34,43,11,13,10,46,58,-12,1,3,466,375,39,82,0,2023,25.218,99.061,19.812,5,-,0.786,0.8461538461538461
Salt Lake,34,50,14,12,8,48,50,-2,0,5,390,340,79,73,2,2023,20.213,80.583,20.146,4,1,0.997,1.1666666666666667
San Jose,34,44,10,10,14,39,43,-4,6,7,344,358,53,72,4,2023,18.0,102.25,20.45,5,1,1.136,1.0
Seattle,34,53,14,9,11,41,32,9,1,1,348,376,55,59,2,2023,37.722,180.644,30.107,6,-,0.798,1.5555555555555556
St. Louis,34,56,17,12,5,62,45,17,5,7,481,356,42,77,4,2023,22.5,134.846,22.474,6,3,0.999,1.4166666666666667
Toronto,34,22,4,20,10,26,59,-33,1,4,322,424,58,51,3,2023,30.991,184.361,26.337,7,-,0.85,0.2
Vancouver,34,48,12,10,12,55,48,7,8,1,408,358,59,66,1,2023,22.12,207.652,29.665,7,7,1.341,1.2
Atlanta,34,40,10,14,10,48,54,-6,3,6,387,390,64,69,3,2022,73.019,800.966,47.116,17,-,0.645,0.7142857142857143
Austin,34,56,16,10,8,65,49,16,4,7,420,353,64,71,4,2022,20.738,352.546,20.738,17,14,1.0,1.6
Charlotte,34,42,13,18,3,44,52,-8,4,4,429,371,33,61,2,2022,75.412,599.428,35.26,17,-,0.468,0.7222222222222222
Chicago,34,39,10,15,9,39,48,-9,5,5,468,436,77,82,5,2022,24.955,269.41,15.848,17,2,0.635,0.6666666666666666
Cincinnati,34,49,12,9,13,64,56,8,5,10,426,343,56,75,4,2022,26.0,382.274,22.487,17,-,0.865,1.3333333333333333
Colorado,34,43,11,13,10,46,57,-11,5,11,422,367,55,90,6,2022,18.086,246.049,14.473,17,1,0.8,0.8461538461538461
Columbus,34,46,10,8,16,46,41,5,2,4,359,483,60,65,1,2022,20.011,327.027,19.237,17,6,0.961,1.25
D.C.,34,27,7,21,6,36,71,-35,4,5,463,353,50,70,5,2022,20.0,276.355,16.256,17,-,0.813,0.3333333333333333
Dallas,34,53,14,9,11,48,37,11,1,7,402,366,55,76,3,2022,20.5,279.965,16.469,17,-,0.803,1.5555555555555556
Houston,34,36,10,18,6,43,56,-13,6,8,384,325,52,91,6,2022,22.039,279.24,16.426,17,-,0.745,0.5555555555555556
Kansas City,34,40,11,16,7,42,54,-12,5,6,375,410,26,62,6,2022,21.0,312.199,18.365,17,-,0.875,0.6875
LA,34,50,14,12,8,58,51,7,14,7,409,371,56,80,4,2022,22.0,375.518,22.089,17,13,1.004,1.1666666666666667
LAFC,34,67,21,9,4,66,38,28,7,4,463,400,48,79,2,2022,27.0,388.301,22.841,17,-,0.846,2.3333333333333335
Miami,34,48,14,14,6,47,56,-9,5,5,405,344,67,68,5,2022,21.55,214.833,12.637,17,-,0.586,1.0
Minnesota,34,48,14,14,6,48,51,-3,4,5,402,354,52,79,2,2022,19.6,332.526,19.56,17,9,0.998,1.0
Montreal,34,65,20,9,5,63,50,13,7,6,382,408,50,77,3,2022,20.341,268.071,15.769,17,-,0.775,2.2222222222222223
Nashville,34,50,13,10,11,52,41,11,9,9,388,367,68,74,2,2022,30.0,468.419,27.554,17,3,0.919,1.3
New England,34,42,10,12,12,47,50,-3,6,12,342,352,48,57,2,2022,20.0,360.762,21.221,17,8,1.061,0.8333333333333334
New York,34,53,15,11,8,50,41,9,10,1,525,381,52,83,5,2022,25.0,289.035,17.002,17,-,0.68,1.3636363636363635
New York City,34,55,16,11,7,57,41,16,9,1,411,426,53,80,2,2022,30.321,292.057,17.18,17,-,0.567,1.4545454545454546
Orlando,34,48,14,14,6,44,53,-9,4,6,395,480,42,78,3,2022,25.5,276.826,16.284,17,-,0.639,1.0
Philadelphia,34,67,19,5,10,72,26,46,10,5,488,366,57,66,3,2022,18.5,308.146,18.126,17,8,0.98,3.8
Portland,34,46,11,10,13,53,53,0,11,2,450,372,28,91,5,2022,25.218,405.305,23.841,17,2,0.945,1.1
Salt Lake,34,47,12,11,11,43,45,-2,2,9,351,331,65,68,1,2022,20.213,347.991,20.47,17,8,1.013,1.0909090909090908
San Jose,34,35,8,15,11,52,69,-17,7,6,377,456,39,68,2,2022,18.0,259.416,15.26,17,1,0.848,0.5333333333333333
Seattle,34,41,12,17,5,47,46,1,7,7,335,405,61,63,4,2022,37.722,540.799,31.812,17,1,0.843,0.7058823529411765
Toronto,34,34,9,18,7,49,66,-17,8,4,333,433,41,67,2,2022,30.991,432.19,25.423,17,-,0.82,0.5
Vancouver,34,43,12,15,7,40,57,-17,5,7,384,376,52,68,3,2022,22.12,278.79,16.399,17,-,0.741,0.8
Atlanta,34,51,13,9,12,45,37,8,6,5,388,507,58,63,3,2021,73.019,747.386,43.964,17,-,0.602,1.4444444444444444
Austin,34,31,9,21,4,35,56,-21,2,3,351,348,47,60,4,2021,20.738,290.332,20.738,14,10,1.0,0.42857142857142855
Chicago,34,34,9,18,7,36,54,-18,0,5,445,420,56,62,2,2021,24.955,171.105,10.694,16,-,0.429,0.5
Cincinnati,34,20,4,22,8,37,74,-37,3,2,431,415,59,75,3,2021,26.0,359.969,21.175,17,-,0.814,0.18181818181818182
Colorado,34,61,17,7,10,51,35,16,3,1,402,310,60,73,1,2021,18.086,144.169,12.014,12,-,0.664,2.4285714285714284
Columbus,34,47,13,13,8,46,45,1,4,5,357,430,48,50,1,2021,20.011,281.918,16.583,17,1,0.829,1.0
D.C.,34,47,14,15,5,56,54,2,11,1,513,406,56,69,2,2021,20.0,217.441,12.791,17,-,0.64,0.9333333333333333
Dallas,34,33,7,15,12,47,56,-9,3,10,457,357,57,80,1,2021,20.5,228.11,13.418,17,-,0.655,0.4666666666666667
Houston,34,30,6,16,12,36,54,-18,4,5,449,371,66,71,1,2021,22.039,207.732,12.22,17,-,0.555,0.375
Kansas City,34,58,17,10,7,58,40,18,6,2,347,401,40,50,2,2021,21.0,262.522,18.752,14,-,0.893,1.7
LA,34,48,13,12,9,50,54,-4,6,6,384,360,54,54,1,2021,22.0,318.685,18.746,17,7,0.852,1.0833333333333333
LAFC,34,45,12,13,9,53,51,2,8,0,446,387,49,54,1,2021,27.0,259.28,16.205,16,-,0.6,0.9230769230769231
Miami,34,41,12,17,5,36,53,-17,4,4,441,421,66,81,4,2021,21.55,235.403,13.847,17,-,0.643,0.7058823529411765
Minnesota,34,49,13,11,10,42,44,-2,3,6,427,381,47,56,3,2021,19.6,192.355,14.797,13,3,0.755,1.1818181818181819
Montreal,34,46,12,12,10,46,44,2,4,5,415,381,54,62,5,2021,20.341,36.701,18.351,2,-,0.902,1.0
Nashville,34,54,12,4,18,55,33,22,3,5,437,381,61,53,1,2021,30.0,309.405,19.338,16,-,0.645,3.0
New England,34,73,22,5,7,65,41,24,3,4,374,405,44,53,3,2021,20.0,207.476,18.861,11,2,0.943,4.4
New York,34,48,13,12,9,39,33,6,4,4,509,373,64,72,2,2021,25.0,171.099,13.161,13,-,0.527,1.0833333333333333
New York City,34,51,14,11,9,56,36,20,5,3,506,403,61,72,8,2021,30.321,32.556,5.426,6,-,0.179,1.2727272727272727
Orlando,34,51,13,9,12,50,48,2,8,3,398,419,48,67,3,2021,25.5,250.299,15.644,16,-,0.614,1.4444444444444444
Philadelphia,34,54,14,8,12,48,35,13,3,6,431,355,66,71,3,2021,18.5,193.552,12.903,15,1,0.698,1.75
Portland,34,55,17,13,4,56,52,4,4,8,414,384,39,69,2,2021,25.218,255.422,21.285,12,-,0.844,1.3076923076923077
Salt Lake,34,48,14,14,6,55,54,1,3,4,366,339,39,71,1,2021,20.213,213.066,15.219,14,-,0.753,1.0
San Jose,34,41,10,13,11,46,54,-8,5,5,427,473,40,81,4,2021,18.0,155.239,12.937,12,2,0.719,0.7692307692307693
Seattle,34,60,17,8,9,53,33,20,6,4,379,448,44,58,0,2021,37.722,427.121,25.125,17,-,0.666,2.125
Toronto,34,28,6,18,10,39,66,-27,3,6,336,410,71,58,4,2021,30.991,71.08,7.898,9,-,0.255,0.3333333333333333
Vancouver,34,49,12,9,13,45,45,0,4,5,404,400,55,56,0,2021,22.12,103.796,12.975,8,-,0.587,1.3333333333333333
Atlanta,34,58,18,12,4,58,43,15,10,5,350,402,56,56,2,2019,73.019,892.663,52.51,17,-,0.719,1.5
Chicago,34,42,10,12,12,55,47,8,5,5,408,346,61,62,2,2019,24.955,209.516,12.324,17,-,0.494,0.8333333333333334
Cincinnati,34,24,6,22,6,31,75,-44,5,7,371,383,66,57,4,2019,26.0,464.72,27.336,17,2,1.051,0.2727272727272727
Colorado,34,42,12,16,6,58,63,-5,8,9,407,350,50,70,8,2019,18.086,242.833,14.284,17,-,0.79,0.75
Columbus,34,38,10,16,8,39,47,-8,5,5,398,349,55,57,1,2019,20.011,252.555,14.856,17,2,0.742,0.625
D.C.,34,50,13,10,11,42,38,4,4,6,387,383,50,49,5,2019,20.0,301.644,17.744,17,2,0.887,1.3
Dallas,34,48,13,12,9,54,46,8,5,8,427,399,51,67,1,2019,20.5,252.313,14.842,17,-,0.724,1.0833333333333333
Houston,34,40,12,18,4,49,59,-10,5,7,417,399,67,67,4,2019,22.039,266.464,15.674,17,-,0.711,0.6666666666666666
Kansas City,34,38,10,16,8,49,67,-18,9,5,419,394,47,74,7,2019,21.0,316.211,18.601,17,1,0.886,0.625
LA,34,51,16,15,3,58,59,-1,8,8,383,288,85,70,3,2019,22.0,356.162,22.26,16,15,1.012,1.0666666666666667
LAFC,34,72,21,4,9,85,37,48,11,3,396,428,74,52,1,2019,27.0,394.477,23.205,17,1,0.859,5.25
Minnesota,34,53,15,11,8,52,43,9,7,4,390,319,51,55,4,2019,19.6,335.291,19.723,17,16,1.006,1.3636363636363635
Montreal,34,41,12,17,5,47,60,-13,6,7,382,384,48,55,3,2019,20.341,274.904,16.171,17,-,0.795,0.7058823529411765
New England,34,45,11,11,12,50,57,-7,7,4,435,413,56,69,5,2019,20.0,284.535,16.737,17,5,0.837,1.0
New York,34,48,14,14,6,53,51,2,5,7,403,431,69,52,5,2019,25.0,293.769,17.281,17,-,0.691,1.0
New York City,34,64,18,6,10,63,42,21,9,10,467,409,68,79,1,2019,30.321,358.82,21.107,17,-,0.696,3.0
Orlando,34,37,9,15,10,44,52,-8,5,1,377,327,56,62,3,2019,25.5,386.94,22.761,17,1,0.893,0.6
Philadelphia,34,55,16,11,7,58,50,8,8,6,388,326,81,58,3,2019,18.5,272.343,17.021,16,7,0.92,1.4545454545454546
Portland,34,49,14,13,7,52,49,3,5,7,459,307,53,76,6,2019,25.218,428.706,25.218,17,17,1.0,1.0769230769230769
Salt Lake,34,53,16,13,5,46,41,5,7,5,382,390,87,65,5,2019,20.213,292.101,18.256,16,2,0.903,1.2307692307692308
San Jose,34,44,13,16,5,52,55,-3,1,7,425,414,76,72,5,2019,18.0,319.272,18.781,17,4,1.043,0.8125
Seattle,34,56,16,10,8,52,49,3,3,5,346,411,55,54,3,2019,37.722,684.192,40.247,17,8,1.067,1.6
Toronto,34,50,13,10,11,57,52,5,7,13,330,362,61,50,3,2019,30.991,425.816,25.048,17,-,0.808,1.3
Vancouver,34,34,8,16,10,37,59,-22,7,8,356,371,39,64,1,2019,22.12,331.745,19.514,17,4,0.882,0.5
Atlanta,34,69,21,7,6,70,44,26,14,7,346,374,77,62,3,2018,73.019,901.033,53.002,17,4,0.726,3.0
Chicago,34,32,8,18,8,48,61,-13,4,6,413,310,85,62,2,2018,24.955,251.708,14.806,17,1,0.593,0.4444444444444444
Colorado,34,31,8,19,7,36,63,-27,5,5,465,391,69,90,5,2018,18.086,260.66,15.333,17,-,0.848,0.42105263157894735
Columbus,34,51,14,11,9,43,45,-2,7,5,365,347,82,50,2,2018,20.011,211.603,12.447,17,-,0.622,1.2727272727272727
D.C.,34,51,14,11,9,60,50,10,5,2,377,393,49,42,2,2018,20.0,280.193,17.512,16,6,0.876,1.2727272727272727
Dallas,34,57,16,9,9,52,44,8,6,7,351,356,79,51,3,2018,20.5,229.352,15.29,15,-,0.746,1.7777777777777777
Houston,34,38,10,16,8,58,58,0,4,10,419,343,47,67,6,2018,22.039,287.408,16.906,17,1,0.767,0.625
Kansas City,34,62,18,8,8,65,40,25,7,8,376,353,38,50,3,2018,21.0,339.148,19.95,17,2,0.95,2.25
LA,34,48,13,12,9,66,64,2,5,8,423,334,81,70,3,2018,22.0,374.716,22.042,17,16,1.002,1.0833333333333333
LAFC,34,57,16,9,9,68,52,16,5,8,361,449,52,40,4,2018,27.0,415.543,24.444,17,3,0.905,1.7777777777777777
Minnesota,34,36,11,20,3,49,71,-22,1,5,436,348,73,72,7,2018,19.6,406.342,23.902,17,1,1.22,0.55
Montreal,34,46,14,16,4,47,53,-6,6,8,375,377,86,48,3,2018,20.341,315.665,18.569,17,2,0.913,0.875
New England,34,41,10,13,11,49,55,-6,5,5,513,364,44,81,4,2018,20.0,311.897,18.347,17,4,0.917,0.7692307692307693
New York,34,71,22,7,5,62,33,29,6,4,398,387,88,53,2,2018,25.0,295.483,18.468,16,1,0.739,3.142857142857143
New York City,34,56,16,10,8,59,45,14,4,3,459,363,74,61,4,2018,30.321,394.583,23.211,17,-,0.766,1.6
Orlando,34,28,8,22,4,43,74,-31,7,7,361,400,78,69,5,2018,25.5,405.73,23.866,17,2,0.936,0.36363636363636365
Philadelphia,34,50,15,14,5,49,50,-1,7,8,404,344,56,57,4,2018,18.5,280.805,16.518,17,-,0.893,1.0714285714285714
Portland,34,54,15,10,9,54,48,6,6,2,369,373,67,56,2,2018,25.218,359.448,21.144,17,14,0.838,1.5
Salt Lake,34,49,14,13,7,55,58,-3,8,7,373,374,75,55,0,2018,20.213,316.286,18.605,17,2,0.921,1.0769230769230769
San Jose,34,21,4,21,9,49,71,-22,7,3,378,428,62,46,3,2018,18.0,323.547,19.032,17,3,1.057,0.19047619047619047
Seattle,34,59,18,11,5,52,37,15,5,2,357,411,69,55,4,2018,37.722,690.893,40.641,17,15,1.077,1.6363636363636365
Toronto,34,36,10,18,6,59,64,-5,9,7,299,362,68,54,4,2018,30.991,452.675,26.628,17,1,0.859,0.5555555555555556
Vancouver,34,47,13,13,8,54,67,-13,5,11,412,381,73,59,7,2018,22.12,373.089,21.946,17,11,0.992,1.0
Atlanta,34,55,15,9,10,70,40,30,4,5,429,392,76,63,4,2017,73.019,819.404,48.2,17,9,0.66,1.6666666666666667
Chicago,34,55,16,11,7,61,47,14,7,3,393,386,95,47,2,2017,24.955,295.511,17.383,17,6,0.697,1.4545454545454546
Colorado,34,33,9,19,6,31,51,-20,2,8,479,330,61,75,6,2017,18.086,260.476,15.322,17,-,0.847,0.47368421052631576
Columbus,34,54,16,12,6,53,49,4,6,7,372,365,88,51,4,2017,20.011,262.469,15.439,17,1,0.772,1.3333333333333333
D.C.,34,32,9,20,5,31,60,-29,4,7,416,378,76,54,3,2017,20.0,304.369,17.904,17,2,0.895,0.45
Dallas,34,46,11,10,13,48,48,0,4,4,406,363,72,62,3,2017,20.5,257.077,15.122,17,-,0.738,1.1
Houston,34,50,13,10,11,57,45,12,8,3,426,364,40,68,1,2017,22.039,297.507,17.5,17,1,0.794,1.3
Kansas City,34,49,12,9,13,40,29,11,3,5,374,411,69,56,2,2017,21.0,332.121,19.537,17,-,0.93,1.3333333333333333
LAFC,34,32,8,18,8,45,67,-22,5,5,426,369,52,69,8,2017,27.0,378.182,22.246,17,-,0.824,0.4444444444444444
Minnesota,34,36,10,18,6,47,70,-23,4,9,379,417,69,67,3,2017,19.6,349.138,20.538,17,-,1.048,0.5555555555555556
Montreal,34,39,11,17,6,52,58,-6,7,5,462,371,77,70,6,2017,20.341,340.783,20.046,17,6,0.986,0.6470588235294118
New England,34,45,13,15,6,53,61,-8,4,5,435,396,46,53,5,2017,20.0,329.233,19.367,17,7,0.968,0.8666666666666667
New York,34,50,14,12,8,53,47,6,8,9,475,487,73,72,1,2017,25.0,359.977,21.175,17,5,0.847,1.1666666666666667
New York City,34,57,16,9,9,56,43,13,6,4,447,430,69,75,1,2017,30.321,379.455,22.321,17,1,0.736,1.7777777777777777
Orlando,34,39,10,15,9,39,58,-19,1,5,433,479,49,63,7,2017,25.5,425.477,25.028,17,9,0.982,0.6666666666666666
Philadelphia,34,42,11,14,9,50,47,3,7,7,432,366,52,52,2,2017,18.5,285.797,16.812,17,2,0.909,0.7857142857142857
